Genus,species,subspecies,binomial,current,common,h_l,h_w,u_l,u_w,f_l,f_w,t_l,t_w,m_l,m_w
Tetraceros,quadricornis,NA,Tetraceros quadricornis,Tetracerus quadricornis,Antelope,130,15.0,172,12.5,169,13.7,210,11.4,146,6
Alces,americanus,NA,Alces americanus,Alces alces,Moose,370,44.2,480,44.1,425,39.8,476,35.8,382,33.2
Axis,porcinus,NA,Axis porcinus,Axis porcinus,Axis deer,142,17.0,159,14.5,181,14.1,193,18.5,107,10.3
Capreolus,capreolus,NA,Capreolus capreolus,Capreolus capreolus,Roe deer,162,16.6,211,15.8,187,14.4,230,11.9,160,12.8
Cervus,canadensis,NA,Cervus canadensis,Cervus canadensis,Elk,309,42.5,382,37.4,373,36.3,NA,NA,NA,NA
Cervus,elaphus,NA,Cervus elaphus,Cervus elaphus,Red deer,261,35.3,346,34.9,306,31.6,354,27.7,251,23.2
Cervus,nannodes,NA,Cervus nannodes,Cervus elaphus,Tule elk,307,43.4,402,32.7,358,34.7,425,33.0,286,32.2
Cervus,nippon,NA,Cervus nippon,Cervus nippon,Sika deer,169,18.2,217,16.4,223,16.9,243,19.4,170,12.2
Cervus,unicolor,NA,Cervus unicolor,Rusa unicolor,Sambar,237,29.7,301,32.2,297,37.2,319,22.3,218,20.5
Cervus,unicolor,NA,Cervus unicolor,Rusa unicolor,Sambar,264,35.1,318,26.9,332,34.0,348,31.1,230,20.1
Dama,dama,NA,Dama dama,Dama dama,Fallow deer,166,20.7,218,17.3,211,19.8,240,20.0,173,13.8
Elaphodus,cephalophus,NA,Elaphodus cephalophus,Elaphodus cephalophus,Tufted deer,116,11.5,131,11.9,142,11.5,162,11.0,86,7.3
Elaphurus,davidanus,NA,Elaphurus davidanus,Elaphurus davidanus,Peer David's deer,263,28.4,345,29.5,342,32.0,362,34.9,253,21.4
Hydropotes,inermis,NA,Hydropotes inermis,Hydropotes inermis,Chinese water deer,125,14.6,156,14.3,164,12.5,193,15.4,120,14.0
Moschus,moschiferus,NA,Moschus moschiferus,Moschus moschiferus,Musk deer,131,12.5,152,12.9,153,11.7,202,11.8,110,8.3
Muntiacus,reevesi,NA,Muntiacus reevesi,Muntiacus reevesi,Muntjac,116,12.3,124,14.0,138,14.6,150,12.6,80,18.3
Odocoileus,hemionus,NA,Odocoileus hemionus,Odocoileus hemionus,Blacktailed deer,204,23.6,268,20.4,252,22.0,290,19.7,206,16.2
Odocoileus,virginianus,NA,Odocoileus virginianus,Odocoileus virginianus,Whitetailed deer,163,18.5,199,17.0,199,17.4,228,16.5,133,10.6
