Continent,Species Distribution,Status,Order,FAMILY,Genus,Species,LogMass,Combined Mass (g),Comments,Reference,IUCN status,Diet Category,,,,,,,,,,,,,,
EA,,extant,Artiodactyla,Moschidae,Moschus,moschiferus,4.114,13000.000,hunting,68,VU,,,,,,,,,,,,,,,
Insular,Borneo,extant,Artiodactyla,Cervidae,Muntiacus,atherodes,4.193,15600.000,,118,,,,,,,,,,,,,,,,
EA,E china,extant,Artiodactyla,Cervidae,Muntiacus,crinifrons,4.558,36140.986,hunting,165,VU,,,,,,,,,,,,,,,
EA,"Thailand, peninsular Burma, China",extant,Artiodactyla,Cervidae,Muntiacus,feae,4.342,22000.000,,"144, 146",DD,,,,,,,,,,,,,,,
EA,"Burma, Tibet, China",extant,Artiodactyla,Cervidae,Muntiacus,gongshanensis,4.299,19906.733,hunting,165,DD,,,,,,,,,,,,,,,
EA/INSULAr,SriLanka/Borneo,extant,Artiodactyla,Cervidae,Muntiacus,muntjak,4.196,15925.792,,"combines 68,118,132",,,,,,,,,,,,,,,,
EA,China,extant,Artiodactyla,Cervidae,Muntiacus,reevesi,4.130,13500.000,,134,"m15, f 12 kg",,,,,,,,,,,,,,,
Insular,Taiwan,extant,Artiodactyla,Cervidae,Muntiacus,reevesi,4.130,13500.000,,136,,,,,,,,,,,,,,,,
EA,"China, India",extant,Artiodactyla,Bovidae,Naemorhedus,baileyi,4.439,27487.500,"hunting, habitat loss",215,VU,,,,,,,,,,,,,,,
EA,"Russia, China, Burma, Thailand",extant,Artiodactyla,Bovidae,Naemorhedus,caudatus,4.431,27000.000,"hunting, habitat loss, natural disasters",144,VU,,,,,,,,,,,,,,,
Insular,Japan,extant,Artiodactyla,Bovidae,Naemorhedus,crispus,4.570,37160.000,unknown,233,LR,,,,,,,,,,,,,,,
EA,,extant,Artiodactyla,Bovidae,Naemorhedus,goral,4.455,28500.000,"hunting, habitat loss, fire",68,LR,,,,,,,,,,,,,,,
EA,,extant,Artiodactyla,Bovidae,Naemorhedus,sumatraensis,4.942,87500.000,"hunting, habitat loss",68,VU,,,,,,,,,,,,,,,
Insular,Tawain,extant,Artiodactyla,Bovidae,Naemorhedus,swinhoei,4.322,21000.000,"hunting, habitat loss, natural disasters","233, http://www.traveltaiwan.com/e/em.html",VU,,,,,,,,,,,,,,,
